"Filename";"Name";"Date";"Style";"Genre";"Tags";"Artist"
"guitar";"Guitar";1926;"Synthetic Cubism";"still life";"('musical-instruments')";"Pablo Picasso"
"blind-man-and-girl-1904";"Blind man and girl";1904;"Naïve Art (Primitivism)";;"('allegories-and-symbols', 'female-nude', 'male-nude', 'Sketch', 'Figure drawing', 'Male', 'Standing', 'Human')";"Pablo Picasso"
"el-tinen-1906";"El Tinen";1906;"Expressionism";"portrait";"('male-portraits', 'characters-and-emotions')";"Pablo Picasso"
"claude-and-paloma-playing-1950";"Claude and Paloma playing";1950;"Surrealism";;"('famous-people', 'children', 'games-and-toys', 'Paloma Picasso')";"Pablo Picasso"
"bathers-1920";"Bathers";1920;"Neoclassicism";;"('female-nude', 'bathing-and-swimming', 'leisure-and-sleep')";"Pablo Picasso"
"man-with-guitar-1913";"Man with guitar";1913;"Synthetic Cubism";;"('musical-instruments')";"Pablo Picasso"
"seated-woman-1960";"Seated woman";1960;"Surrealism";"portrait";"('female-portraits')";"Pablo Picasso"
"barselona-harlequin-1917";"Barselona harlequin";1917;"Cubism";"portrait";"('male-portraits')";"Pablo Picasso"
"harlequin-1915";"Harlequin";1915;"Synthetic Cubism";;"('Harlequin')";"Pablo Picasso"
"figure-1927";"Figure";1927;"Surrealism";"nude painting (nu)";"('Sketch')";"Pablo Picasso"
"mother-and-child-1921-1";"Mother and child";1921;"Neoclassicism";;"('mother-and-child')";"Pablo Picasso"
"crane-book-and-oil-lamp-1946";"Crane, book and oil lamp";1946;"Cubism";"still life";"('books-and-letters', 'lamps-and-candles')";"Pablo Picasso"
"bull-plate-vii-1945";"Bull (plate VII)";1945;"Cubism";"animal painting";"('animals', 'bulls')";"Pablo Picasso"
"an-artist-1963";"An artist";1963;"Surrealism";"portrait";"('allegories-and-symbols', 'arts-and-crafts', 'male-portraits')";"Pablo Picasso"
"madeleine-1904";"Madeleine";1904;"Post-Impressionism";"sketch and study";"('female-portraits', 'Lady')";"Pablo Picasso"
"seating-nude";"Seating nude";1908;"Cubism";"sculpture";"('Statue', 'Classical sculpture', 'Figurine', 'Stone carving', 'Carving', 'Sitting', 'Kneeling', 'Monument')";"Pablo Picasso"
"untitled-1954";"Untitled";1954;"Neoclassicism";"portrait";"('female-portraits', 'Jacqueline Roque', 'Sketch', 'Arm', 'Figure drawing')";"Pablo Picasso"
"study-to-girls-from-avignon-1906";"Study to ""Girls from Avignon""";1906;"Cubism";"nude painting (nu)";"('female-nude', 'Sketch', 'Figure drawing', 'Human')";"Pablo Picasso"
"mother-and-child-behind-the-bouquet-of-flowers-1901";"Mother and child behind the bouquet of flowers";1901;"Post-Impressionism";;"('mother-and-child')";"Pablo Picasso"
"our-futures-is-in-the-air-1912";"Our Futures is in the Air";1912;"Cubism";"still life";"('allegories-and-symbols', 'words', 'Font')";"Pablo Picasso"
"head-of-a-woman-1930";"Head of a woman";1930;"Cubism";;"('Line')";"Pablo Picasso"
"still-life-with-gobleet-1914";"Still life with Gobleet";1914;"Cubism";"still life";"('fruits-and-vegetables', 'dishware-and-cutlery', 'Still life photography', 'Chalice')";"Pablo Picasso"
"the-room-of-the-ironer-1904";"The room of the ironer";1904;"Expressionism";;"('domestic-settings', 'handwork')";"Pablo Picasso"
"faun-unveiling-a-sleeping-girl-jupiter-and-antiope-after-rembrandt-1936";"Faun unveiling a sleeping girl (Jupiter and Antiope, after Rembrandt)";1936;"Neoclassicism";"mythological painting";"('female-nude', 'fauns', 'Antiope', 'Jupiter/Zeus', 'monochrome')";"Pablo Picasso"
"woman-in-red-armchair-1932";"Woman in red armchair";1932;"Surrealism";"portrait";"('female-portraits', 'Still life photography')";"Pablo Picasso"
"the-absinthe-drinker-1901-1";"The absinthe drinker";1901;"Expressionism";;"()";"Pablo Picasso"
"the-rescue-1932";"The rescue";1932;"Surrealism";;"('allegories-and-symbols', 'Fictional character')";"Pablo Picasso"
"two-figures-1934";"Two figures";1934;"Surrealism";;"('reading-and-writing', 'couples')";"Pablo Picasso"
"young-acrobat-and-clown-1905";"Young acrobat and clown";1905;"Expressionism";;"('actors-and-performances', 'Human')";"Pablo Picasso"
"women-s-toilette-1961";"Women's toilette";1961;"Surrealism";;"('women-and-mirrors')";"Pablo Picasso"
"portrait-of-erik-satie-1920";"Portrait of Erik Satie";1920;"Expressionism";"portrait";"('male-portraits', 'famous-people', 'Erik Satie', 'Sitting', 'Arm', 'Standing', 'Male', 'Sketch', 'Human', 'Joint')";"Pablo Picasso"
"bust-of-woman-with-yellow-ribbon-jacqueline-1962";"Bust of Woman with Yellow Ribbon (Jacqueline)";1962;"Cubism";"portrait";"('female-portraits')";"Pablo Picasso"
"portrait-of-sylvette-david-1954";"Portrait of Sylvette David";1954;"Cubism";"portrait";"('female-portraits')";"Pablo Picasso"
"women-at-their-toilette-1938";"Women at their toilette";1938;"Surrealism";;"('women-and-mirrors', 'hygiene-and-cosmetics', 'Textile')";"Pablo Picasso"
"musicians-with-masks-1921";"Musicians with masks";1921;"Cubism";;"('allegories-and-symbols')";"Pablo Picasso"
"head-of-crying-woman";"Head of crying woman";1937;"Surrealism";"portrait";"('characters-and-emotions', 'Sketch')";"Pablo Picasso"
"nude-with-raised-arms-1907";"Nude with raised arms";1907;"Cubism";"nude painting (nu)";"('female-nude')";"Pablo Picasso"
"head-1913";"Head";1913;"Synthetic Cubism";"portrait";"('male-portraits')";"Pablo Picasso"
"a-red-skirt-1901";"A red skirt";1901;"Expressionism";;"('female-portraits')";"Pablo Picasso"
"man-and-woman-1971";"Man and Woman";1971;"Surrealism";"nude painting (nu)";"('female-nude', 'male-nude')";"Pablo Picasso"
"a-girl-from-avignon-1907";"A girl from Avignon";1907;"Cubism";"sketch and study";"('female-portraits', 'Sketch')";"Pablo Picasso"
"bust-of-a-woman-arms-raised-1922";"Bust of a woman, arms raised";1922;"Neoclassicism";"portrait";"('female-portraits', 'Face', 'Chin', 'Stone carving', 'Head', 'Lady', 'Classical sculpture', 'Forehead', 'Cheek')";"Pablo Picasso"
"naked-woman-on-the-beach-and-shovel-1960";"Naked woman on the beach and shovel";1960;"Cubism";;"('roads-and-vehicles', 'female-nude', 'leisure-and-sleep')";"Pablo Picasso"
"las-meninas-velazquez";"Las Meninas (Velazquez)";1957;"Naïve Art (Primitivism)";"portrait";"('famous-people', 'female-portraits', 'Las Meninas')";"Pablo Picasso"
"seated-female-nude-1903";"Seated female nude";1903;"Expressionism";"nude painting (nu)";"('female-nude')";"Pablo Picasso"
"fruit-bowl-with-fruit-1918";"Fruit Bowl with Fruit";1918;"Realism";"still life";"('fruits-and-vegetables', 'Still life photography', 'Pear', 'Food', 'Fruit')";"Pablo Picasso"
"composition-1946";"Composition";1946;"Cubism";"still life";"()";"Pablo Picasso"
"profile-of-young-dutchwoman-1905";"Profile of young dutchwoman";1905;"Expressionism";"portrait";"('female-portraits', 'Head', 'Sketch', 'Graphic design')";"Pablo Picasso"
"portrait-of-sebastia-junyent-sans-1904";"Portrait of Sebastià Junyent Sans";1904;"Expressionism";"portrait";"('male-portraits', 'famous-people', 'Sebastià Junyent Sans', 'Facial hair', 'Beard', 'Chin', 'Moustache')";"Pablo Picasso"
"untitled-1970-1";"Untitled";1970;"Expressionism";;"('female-nude', 'walking', 'People', 'Standing', 'Human', 'Organism', 'Arm')";"Pablo Picasso"
"reclining-nude-with-wreath-1970";"Reclining Nude with wreath";1970;"Surrealism";"nude painting (nu)";"('female-nude')";"Pablo Picasso"
"bottle-of-vieux-marc-glass-guitar-and-newspaper-1913";"Bottle of Vieux Marc, Glass, Guitar and Newspaper";1913;"Synthetic Cubism";"still life";"('dishware-and-cutlery', 'musical-instruments', 'newspapers', 'Text', 'Font', 'Graphic design')";"Pablo Picasso"
"woman-in-the-interior-1936";"Woman in the interior";1936;"Surrealism";;"('reading-and-writing')";"Pablo Picasso"
"bull-plate-iii-1945";"Bull (plate III)";1945;"Expressionism";"animal painting";"('animals', 'bulls', 'Bovine', 'Bull', 'Ox', 'Bison', 'Cow-goat family', 'Terrestrial animal', 'Livestock', 'Snout', 'Horn', 'Organism')";"Pablo Picasso"
"untitled-1937-4";"Untitled";1937;"Expressionism";"cityscape";"('houses-and-buildings', 'Human settlement')";"Pablo Picasso"
"pierrot-and-harlequin-1920";"Pierrot and Harlequin";1920;"Art Nouveau (Modern)";;"('male-portraits', 'actors-and-performances', 'Harlequin', 'Pierrot')";"Pablo Picasso"
"academical-study";"Academical study";1895;"Realism";"nude painting (nu)";"('male-nude', 'Leg', 'Sitting')";"Pablo Picasso"
"portrait-of-petrus-manach-1901";"Portrait of Petrus Manach";1901;"Post-Impressionism";"portrait";"('male-portraits', 'Gentleman')";"Pablo Picasso"
"massacre-in-korea-1951";"Massacre in Korea";1951;"Expressionism";;"('Human')";"Pablo Picasso"
"woman-s-head-1939";"Woman's head";1939;"Surrealism";"portrait";"('female-portraits')";"Pablo Picasso"
"the-beach-in-garoupe-1955";"The beach in Garoupe";1955;"Surrealism";;"('walking')";"Pablo Picasso"
"seated-woman-in-garden-1938";"Seated woman in garden";1938;"Cubism";;"('gardens-and-parks', 'walking', 'Textile')";"Pablo Picasso"
"bathers-1918";"Bathers";1918;"Neoclassicism";;"('leisure-and-sleep')";"Pablo Picasso"
"table-in-a-cafe-bottle-of-pernod-1912";"Table in a Cafe (Bottle of Pernod)";1912;"Analytical Cubism";"still life";"('taverns-and-inns', 'dishware-and-cutlery', 'food-and-beverages')";"Pablo Picasso"
"portrait-of-young-girl-1936";"Portrait of young girl";1936;"Surrealism";"portrait";"('female-portraits', 'Leaf')";"Pablo Picasso"
"the-soup-1903";"The soup";1903;"Expressionism";;"('families', 'mealtimes', 'Lady', 'Interaction')";"Pablo Picasso"
"untitled-1919";"Untitled";1919;"Cubism";"portrait";"('female-portraits')";"Pablo Picasso"
"portrait-of-gertrude-stein-1906";"Portrait of Gertrude Stein";1906;"Expressionism";"portrait";"('female-portraits', 'Gertrude Stein')";"Pablo Picasso"
"celestina-1904";"Celestina";1904;"Expressionism";"sketch and study";"('female-portraits', 'Line', 'Sketch')";"Pablo Picasso"
"portrait-of-fernande-olivier-in-headscarves-1906";"Portrait of Fernande Olivier in headscarves";1906;"Post-Impressionism";"portrait";"('female-portraits', 'Cheek')";"Pablo Picasso"
"madonna-with-garland-1904";"Madonna with Garland";1904;"Expressionism";"religious painting";"('allegories-and-symbols')";"Pablo Picasso"
"woman-with-child";"Woman with child";;"Expressionism";;"('mother-and-child')";"Pablo Picasso"
"girl-in-front-of-mirror-1932-1";"Girl in front of mirror";1932;"Surrealism";;"('women-and-mirrors')";"Pablo Picasso"
"portrait-of-suzanne-bloch-1904";"Portrait of Suzanne Bloch";1904;"Post-Impressionism";"portrait";"('female-portraits', 'Lady', 'Nose', 'Chin', 'Cheek')";"Pablo Picasso"
"lying-female-nude-1932";"Lying female nude";1932;"Naïve Art (Primitivism)";"nude painting (nu)";"('female-nude', 'Sketch', 'Head', 'Nose', 'Ear')";"Pablo Picasso"
"leaning-woman-1937";"Leaning woman";1937;"Surrealism";"portrait";"('female-portraits')";"Pablo Picasso"
"portrait-of-young-girl-1914";"Portrait of young girl";1914;"Synthetic Cubism";"portrait";"('female-portraits')";"Pablo Picasso"
"cafe-royan-1940";"Café 'Royan'";1940;"Cubism";"cityscape";"('streets-and-squares', 'cafes-and-restaurants')";"Pablo Picasso"
"plaster-head-and-arm-1925";"Plaster head and arm";1925;"Surrealism";"still life";"('allegories-and-symbols', 'monuments-and-statues')";"Pablo Picasso"
"moulin-de-la-galette-1900";"Moulin de la Galette";1900;"Post-Impressionism";;"('taverns-and-inns', 'Crowd')";"Pablo Picasso"
"seated-woman-1921";"Seated woman";1921;"Neoclassicism";"portrait";"('female-portraits', 'Lady', 'Arm', 'Chest')";"Pablo Picasso"
"fairground-1900";"Fairground";1900;"Impressionism";;"('markets-and-shops', 'celebrations-and-festivals')";"Pablo Picasso"
"untitled-1938-3";"Untitled";1938;"Surrealism";"portrait";"('female-portraits', 'Marie-Thérèse Walter')";"Pablo Picasso"
"a-muse-1935";"A muse";1935;"Cubism";"nude painting (nu)";"('female-nude', 'muses')";"Pablo Picasso"
"faun-s-head-1938";"Faun's head";1938;"Surrealism";"mythological painting";"('male-portraits', 'fauns', 'Head')";"Pablo Picasso"
"mediterranean-landscape-1952";"Mediterranean Landscape";1952;"Cubism";"landscape";"('boats-and-ships', 'villas-and-residences')";"Pablo Picasso"
"still-life-with-violin-and-fruits-1912";"Still life with violin and fruits";1912;"Synthetic Cubism";"still life";"('fruits-and-vegetables', 'musical-instruments')";"Pablo Picasso"
"woman-sitting-in-an-armchair-1920";"Woman sitting in an armchair";1920;"Cubism";"portrait";"('female-portraits')";"Pablo Picasso"
"guitar-1920-1";"Guitar";1920;"Synthetic Cubism";"still life";"('musical-instruments')";"Pablo Picasso"
"seated-nude-with-her-legs-crossed";"Seated nude with her legs crossed";1906;"Neoclassicism";"nude painting (nu)";"('female-nude', 'Male', 'Chest', 'Human body', 'Figure drawing')";"Pablo Picasso"
"woman-with-bird-1966";"Woman with bird";1966;"Surrealism";;"('birds', 'female-portraits', 'Footwear', 'Sketch')";"Pablo Picasso"
"seated-woman-1923-1";"Seated woman";1923;"Neoclassicism";"portrait";"('female-portraits', 'Lady')";"Pablo Picasso"
"woman-dressed-in-blue-1901";"Woman dressed in blue";1901;"Post-Impressionism";"portrait";"('female-portraits', 'Lady', 'Victorian fashion', 'costume design', 'Dress')";"Pablo Picasso"
"seven-ballerinas-1919-1";"Seven ballerinas";1919;"Neoclassicism";;"('People', 'Photograph', 'Facial expression', 'Head', 'Social group', 'Hairstyle')";"Pablo Picasso"
"man-and-woman-1927";"Man and woman";1927;"Neoclassicism";"nude painting (nu)";"('female-nude', 'male-nude', 'Elephant', 'Elephants and Mammoths', 'African elephant', 'Organism')";"Pablo Picasso"
"the-harem-1906";"The Harem";1906;"Expressionism";;"('allegories-and-symbols', 'female-nude', 'male-nude', 'harems')";"Pablo Picasso"
"untitled-1936";"Untitled";1936;"Surrealism";"still life";"('fruits-and-vegetables', 'dishware-and-cutlery', 'Still life photography', 'Flowerpot')";"Pablo Picasso"
"a-bank-of-canal-1905";"A bank of canal";1905;"Naïve Art (Primitivism)";;"('streets-and-squares', 'walking', 'Sketch')";"Pablo Picasso"
"bullfight-scene-1901";"Bullfight scene";1901;"Post-Impressionism";;"('animals', 'horses', 'horsemen', 'hunting-and-racing', 'bulls')";"Pablo Picasso"
"portrait-of-woman";"Portrait of woman";1942;"Surrealism";"portrait";"('female-portraits', 'Giraffe', 'Giraffidae')";"Pablo Picasso"
"harlequin-leaning-1901";"Harlequin leaning";1901;"Post-Impressionism";"portrait";"('male-portraits', 'Harlequin', 'actors-and-performances')";"Pablo Picasso"
"dinner-time-evocation-of-horta-d-ebre-1903";"Dinner time (Evocation of Horta d'Ebre)";1903;"Naïve Art (Primitivism)";;"('families', 'mealtimes')";"Pablo Picasso"
"the-abduction-of-sabines-1963";"The Abduction of Sabines";1963;"Surrealism";"history painting";"('allegories-and-symbols', 'battles-and-wars', 'Rome', 'horsemen', 'crimes', 'Rape of the Sabine Women', 'Fictional character')";"Pablo Picasso"
"cat-catching-a-bird-1939";"Cat catching a bird";1939;"Surrealism";"animal painting";"('animals', 'birds', 'cats', 'Cat', 'Small to medium-sized cats', 'Felidae', 'Black cat', 'Tail')";"Pablo Picasso"
"the-serenade-1942";"The serenade";1942;"Surrealism";;"('allegories-and-symbols', 'couples')";"Pablo Picasso"
"girl-and-goat-1906";"Girl and goat";1906;"Expressionism";"nude painting (nu)";"('animals', 'female-nude', 'goats', 'Human')";"Pablo Picasso"
"naked-woman-with-dripping-hair-1902";"Naked woman with dripping hair";1902;"Expressionism";"nude painting (nu)";"('female-nude', 'Human')";"Pablo Picasso"
"breakfast-1953";"Breakfast";1953;"Cubism";;"('families', 'mealtimes')";"Pablo Picasso"
"still-life-1914";"Still life";1914;"Cubism";"sculpture";"()";"Pablo Picasso"
"bed-with-mosquito-nets-1906";"Bed with mosquito nets";1906;"Post-Impressionism";"interior";"('furniture-and-decoration', 'bedrooms')";"Pablo Picasso"
"portrait-of-marie-therese-walter-with-garland-1937";"Portrait of Marie-Thérèse Walter with garland";1937;"Surrealism";"portrait";"('female-portraits', 'Marie-Thérèse Walter', 'Lady', 'Cheek', 'Chin', 'Forehead')";"Pablo Picasso"
"woman-with-jewelery-1901";"Woman with jewelery";1901;"Post-Impressionism";"portrait";"('female-portraits')";"Pablo Picasso"
"landscape-of-juan-les-pins-1920";"Landscape of Juan-les-Pins";1920;"Cubism";"landscape";"('cottages-and-farmhouses', 'seas-and-oceans', 'Juan-les-Pins', 'House', 'Textile')";"Pablo Picasso"
"ballplayers-on-the-beach-1928";"Ballplayers on the beach";1928;"Surrealism";;"('games-and-sport')";"Pablo Picasso"
"scene-design-for-pulcinella-1920";"Scene design for ""Pulcinella""";1920;"Art Nouveau (Modern)";"design";"('designs-and-sketches', 'scene-design', 'Igor Stravinsky ""Pulcinella""')";"Pablo Picasso"
"spanish-still-life-1912";"Spanish Still life";1912;"Analytical Cubism";"still life";"('dishware-and-cutlery', 'words')";"Pablo Picasso"
"woman-turned-right-1934";"Woman turned right";1934;"Surrealism";"portrait";"('female-portraits', 'Marie-Thérèse Walter')";"Pablo Picasso"
"portrait-of-child-1951";"Portrait of child";1951;"Expressionism";"portrait";"('female-portraits', 'children portraits', 'Face', 'Sketch', 'Forehead', 'Nose', 'Head', 'Text', 'Chin')";"Pablo Picasso"
"la-maja-con-bandolina-1907";"La Maja con Bandolina";1907;"Expressionism";"portrait";"()";"Pablo Picasso"
"studio";"Studio";1927;"Cubism";"interior";"('furniture-and-decoration', 'Line')";"Pablo Picasso"
"two-nude-women-1906";"Two nude women";1906;"Expressionism";"nude painting (nu)";"('female-nude', 'Human')";"Pablo Picasso"
"head-of-young-man-1906";"Head of young man";1906;"Expressionism";"portrait";"('male-portraits', 'Face', 'Chin', 'Head', 'Forehead', 'Nose', 'Cheek')";"Pablo Picasso"
"untitled-1971-3";"Untitled";1971;"Expressionism";"nude painting (nu)";"('female-nude', 'Figure drawing', 'Arm', 'Leg', 'Joint', 'Standing', 'Sketch', 'Human', 'Human body')";"Pablo Picasso"
"marin-and-student-1907";"Marin and student";1907;"Post-Impressionism";"sketch and study";"('male-portraits', 'Sketch', 'Arm', 'Figure drawing')";"Pablo Picasso"
"harlequin-s-family-1905";"Harlequin's family";1905;"Expressionism";;"('families', 'female-nude', 'women-and-mirrors', 'actors-and-performances')";"Pablo Picasso"
"portrait-of-sylvette-david-1954-2";"Portrait of Sylvette David";1954;"Expressionism";"portrait";"('female-portraits', 'Face', 'Hair', 'Sketch', 'Head', 'Nose', 'Forehead', 'Hairstyle')";"Pablo Picasso"
"still-life-with-lemon-and-jug-1936";"Still life with lemon and jug";1936;"Surrealism";"still life";"('fruits-and-vegetables', 'dishware-and-cutlery')";"Pablo Picasso"
"standing-nude-1908";"Standing nude";1908;"Expressionism";"nude painting (nu)";"('female-nude')";"Pablo Picasso"
"acrobat-1930";"Acrobat";1930;"Surrealism";;"('games-and-sport', 'actors-and-performances')";"Pablo Picasso"
"guitar-bottle-fruit-dish-and-glass-on-the-table-1919";"Guitar, bottle, fruit dish and glass on the table";1919;"Cubism";"still life";"('dishware-and-cutlery', 'musical-instruments')";"Pablo Picasso"
"vase-with-flowers-1943-1";"Vase with flowers";1943;"Surrealism";"still life";"('flowers-and-plants')";"Pablo Picasso"
"studio-pigeons-velazquez-1957-1";"Studio (Pigeons) (Velazquez)";1957;"Expressionism";"interior";"('birds', 'doors-and-windows', 'pigeons')";"Pablo Picasso"
"apple-1914";"Apple";1914;"Realism";"still life";"('fruits-and-vegetables', 'Apple', 'Still life photography', 'Fruit', 'Sketch', 'Plant')";"Pablo Picasso"
"the-sculptor-and-his-statue-1933";"The Sculptor and His Statue";1933;"Neoclassicism";;"('allegories-and-symbols', 'arts-and-crafts', 'male-nude', 'Mythology')";"Pablo Picasso"
"portrait-of-sebastia-junyer-vidal";"Portrait of Sebastia Junyer-Vidal";1902;"Expressionism";"portrait";"('male-portraits', 'Sebastia Junyer-Vidal', 'Face', 'Head', 'Chin', 'Nose', 'Cheek')";"Pablo Picasso"
"portrait-of-daniel-henry-kahnweiler-1910";"Portrait of Daniel-Henry Kahnweiler";1910;"Analytical Cubism";"portrait";"('male-portraits', 'famous-people', 'Daniel-Henry Kahnweiler', 'Relief', 'Stone carving', 'Carving', 'Ancient history')";"Pablo Picasso"
"nudes-1934";"Nudes";1934;"Surrealism";"nude painting (nu)";"('female-nude', 'flying')";"Pablo Picasso"
"portrait-of-d-m-1943";"Portrait of D. M.";1943;"Naïve Art (Primitivism)";"portrait";"('female-portraits', 'Violet')";"Pablo Picasso"
"cafe-in-royan-1940";"Café in Royan";1940;"Cubism";"sketch and study";"('streets-and-squares', 'cafes-and-restaurants', 'Sketch')";"Pablo Picasso"
"two-bathers-1921";"Two bathers";1921;"Neoclassicism";"nude painting (nu)";"('male-nude', 'Sketch', 'Figure drawing', 'Arm', 'Sitting', 'Human')";"Pablo Picasso"
"farmer-s-wife-on-a-stepladder-1933";"Farmer's wife on a stepladder";1933;"Cubism";;"('birds', 'domestic-settings', 'pigeons')";"Pablo Picasso"
"minotaur-caressing-a-woman";"Minotaur caressing a  woman";1933;"Expressionism";"mythological painting";"('female-nude', 'Greek-and-Roman-Mythology', 'Minotaur', 'People', 'Text', 'Head', 'Organism')";"Pablo Picasso"
"still-life-with-bust-and-palette";"Still life with bust and palette";1925;"Cubism";"still life";"('arts-and-crafts', 'musical-instruments', 'monuments-and-statues')";"Pablo Picasso"
"bullfight-1934";"Bullfight";1934;"Surrealism";;"('animals', 'horses', 'hunting-and-racing', 'bulls')";"Pablo Picasso"
"reading-the-letter-1921";"Reading The Letter";1921;"Neoclassicism";;"('Gentleman')";"Pablo Picasso"
"costume-design-for-ballet-tricorne-1917-1";"Costume design for ballet ""Tricorne""";1917;"Art Nouveau (Modern)";"design";"('designs-and-sketches', 'Manuel de Falla ""Tricorne""', 'costume design')";"Pablo Picasso"
"seated-woman-1939";"Seated woman";1939;"Cubism";"portrait";"('female-portraits')";"Pablo Picasso"
"two-naked-women-1906";"Two naked women";1906;"Post-Impressionism";"sketch and study";"('female-nude', 'Sketch', 'Figure drawing', 'Human')";"Pablo Picasso"
"the-tavern-1914";"The Tavern";1914;"Synthetic Cubism";"still life";"('furniture-and-decoration', 'taverns-and-inns', 'dishware-and-cutlery', 'Circle')";"Pablo Picasso"
"portrait-of-paulo-artist-s-son-1923";"Portrait of Paulo, artist's son";1923;"Expressionism";"portrait";"('male-portraits', 'children portraits', 'Face', 'Cheek', 'Forehead', 'Head', 'Chin', 'Nose', 'Eyebrow')";"Pablo Picasso"
"woman-with-hat-1901";"Woman with hat";1901;"Post-Impressionism";"portrait";"('female-portraits')";"Pablo Picasso"
"olga-1923";"Olga";1923;"Neoclassicism";"portrait";"('female-portraits', 'Olga Khokhlova')";"Pablo Picasso"
"still-life-with-guitar-1914";"Still life with Guitar";1914;"Synthetic Cubism";"sketch and study";"('musical-instruments')";"Pablo Picasso"
"the-divan-japonais-1901";"The 'Divan Japonais'";1901;"Japonism";"portrait";"('female-portraits', 'Cheek')";"Pablo Picasso"
"the-abduction-1920";"The Abduction";1920;"Neoclassicism";"mythological painting";"('female-nude', 'male-nude', 'crimes', 'Human')";"Pablo Picasso"
"a-blue-house";"A blue house";1902;"Expressionism";"cityscape";"('houses-and-buildings', 'Arch')";"Pablo Picasso"
"crouching-beggar-1902";"Crouching beggar";1902;"Expressionism";;"('characters-and-emotions', 'troubles-and-disasters')";"Pablo Picasso"
"woman-with-yellow-hat-jacqueline";"Woman with yellow hat (Jacqueline)";1961;"Surrealism";"portrait";"('female-portraits')";"Pablo Picasso"
"claude-in-the-arms-of-his-mother-1948";"Claude in the arms of his mother";1948;"Expressionism";;"('mother-and-child')";"Pablo Picasso"
"woman-with-guitar-1913";"Woman with guitar";1913;"Cubism";;"('musical-instruments', 'words')";"Pablo Picasso"
"man-with-a-straw-hat-and-an-ice-cream-1938";"Man with a straw hat and an ice-cream";1938;"Surrealism";"portrait";"('male-portraits')";"Pablo Picasso"
"the-old-blind-guitarist-1903";"The old blind guitarist";1903;"Expressionism";;"('musical-instruments', 'Musician', 'Guitarist')";"Pablo Picasso"
"great-still-life-on-pedestal-1931";"Great Still life on pedestal";1931;"Surrealism";"still life";"('dishware-and-cutlery')";"Pablo Picasso"
"tomato-plant-1944";"Tomato plant";1944;"Surrealism";"still life";"('flowers-and-plants')";"Pablo Picasso"
"bull-plate-ix-1946";"Bull (plate IX)";1946;"Cubism";"animal painting";"('animals', 'bulls', 'Sketch', 'Organism')";"Pablo Picasso"
"old-blind-man-with-boy-1903";"Old blind man with boy";1903;"Expressionism";;"('families', 'troubles-and-disasters')";"Pablo Picasso"
"lying-female-nude-playing-with-cat-1964-1";"Lying female nude playing  with cat";1964;"Surrealism";"nude painting (nu)";"('animals', 'cats', 'female-nude')";"Pablo Picasso"
"head-of-a-man-with-hat-1912";"Head of a man with hat";1912;"Synthetic Cubism";"portrait";"('male-portraits', 'Line')";"Pablo Picasso"
"untitled-1937-5";"Untitled";1937;"Surrealism";"portrait";"('female-portraits')";"Pablo Picasso"
"bullfight-1";"Bullfight";1934;"Surrealism";;"('animals', 'horses', 'hunting-and-racing', 'bulls')";"Pablo Picasso"
"pierrot-and-colombina-1900";"Pierrot and Colombina";1900;"Post-Impressionism";;"('couples', 'twilight-and-night', 'fictional-characters', 'Pierrot', 'Colombina')";"Pablo Picasso"
"advertisement-for-tavern-four-cats-1897";"Advertisement for tavern ""Four cats""";1897;"Art Nouveau (Modern)";"advertisement";"('taverns-and-inns', 'posters-and-advertisements', 'Retro style')";"Pablo Picasso"
"the-fortune-1901";"The Fortune";1901;"Post-Impressionism";;"('characters-and-emotions')";"Pablo Picasso"
"seven-ballerinas-1919";"Seven ballerinas";1919;"Neoclassicism";;"('Sketch', 'Figure drawing')";"Pablo Picasso"
"crouching-man-1971";"Crouching man";1971;"Surrealism";"portrait";"('male-portraits', 'Sketch')";"Pablo Picasso"
"woman-sitting-in-an-armchair-1938";"Woman sitting in an armchair";1938;"Cubism";"portrait";"('female-portraits', 'furniture-and-decoration')";"Pablo Picasso"
"bust-of-woman-1931";"Bust of woman";1931;"Surrealism";"sculpture";"('female-portraits', 'Stone carving', 'Head', 'Chin', 'Statue', 'Forehead', 'Classical sculpture', 'Figurine')";"Pablo Picasso"
"student-with-pipe";"Student with pipe";1914;"Synthetic Cubism";"sketch and study";"()";"Pablo Picasso"
"woman-with-cap-1901";"Woman with cap";1901;"Post-Impressionism";"portrait";"('female-portraits', 'Face', 'Head', 'Chin', 'Cheek')";"Pablo Picasso"
"reclining-nude-1932";"Reclining nude";1932;"Surrealism";"nude painting (nu)";"('female-nude', 'Marie-Thérèse Walter')";"Pablo Picasso"
"woman-with-guitar-and-piano-1911";"Woman with guitar and piano";1911;"Analytical Cubism";;"()";"Pablo Picasso"
"the-roofs-of-barcelona-1903";"The roofs of Barcelona";1903;"Expressionism";"cityscape";"('houses-and-buildings', 'Barcelona', 'rooftops', 'Turquoise')";"Pablo Picasso"
"minotaur-is-wounded-1933";"Minotaur is wounded";1933;"Expressionism";"mythological painting";"('Greek-and-Roman-Mythology', 'Minotaur', 'Head', 'Organism', 'Coloring book', 'Organ', 'Wildlife')";"Pablo Picasso"
"flower-seller-1901";"Flower seller";1901;"Impressionism";;"('gardens-and-parks', 'walking')";"Pablo Picasso"
"woman-in-a-straw-hat-1936";"The straw hat with blue leaves";1936;"Surrealism";"portrait";"('female-portraits')";"Pablo Picasso"
